Canton,Municipality,Income tax canton,Income tax municipality,Postcode,,
ZH,uetikon am see,98.00,84.00,8707,uetikon am see,Uetikon am See
ZH,uitikon,98.00,80.00,8142,uitikon,Uitikon
ZH,unterengstringen,98.00,100.00,8103,unterengstringen,Unterengstringen
ZH,urdorf,98.00,115.00,8902,urdorf,Urdorf
ZH,uster,98.00,112.00,8610,uster,Uster
ZH,volken,98.00,111.00,8459,volken,Volken
ZH,volketswil,98.00,101.00,8604,volketswil,Volketswil
ZH,wald ,98.00,122.00,8636,wald ,Wald 
ZH,wallisellen,98.00,95.00,8304,wallisellen,Wallisellen
ZH,wangen-brüttisellen,98.00,101.00,8602,wangen-brüttisellen,Wangen-Brüttisellen
ZH,wasterkingen,98.00,116.00,8195,wasterkingen,Wasterkingen
ZH,weiach,98.00,96.00,8187,weiach,Weiach
ZH,weiningen,98.00,103.00,8104,weiningen,Weiningen
ZH,weisslingen,98.00,116.00,8484,weisslingen,Weisslingen
ZH,wettswil am albis,98.00,90.00,8907,wettswil am albis,Wettswil am Albis
ZH,wetzikon,98.00,119.00,8620,wetzikon,Wetzikon
ZH,wiesendangen,98.00,88.00,8542,wiesendangen,Wiesendangen
ZH,wil ,98.00,99.00,8196,wil ,Wil 
ZH,wila,98.00,125.00,8492,wila,Wila
ZH,wildberg,98.00,127.00,8489,wildberg,Wildberg
ZH,winkel,98.00,76.00,8185,winkel,Winkel
ZH,winterthur,98.00,125.00,8405,winterthur,Winterthur
ZH,wädenswil,98.00,104.00,8820,wädenswil,Wädenswil
ZH,zell ,98.00,118.00,8487,zell ,Zell 
ZH,zollikon,98.00,76.00,8702,zollikon,Zollikon
ZH,zumikon,98.00,77.00,8126,zumikon,Zumikon
ZH,zürich,98.00,119.00,8052,zürich,Zürich
